Id,OverallQual,PropertyAge,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,TotalArea,FullBath,HalfBath,TotalBath,TotRmsAbvGrd,BedroomAbvGr,Neighborhood,MSZoning,BldgType,Remodelled,IsNew,IsPartial,SalePrice
265,5,83,680,764,0,764,2208,1,0,1,4,2,OldTown,RM,1Fam,0,0,0,73000
266,6,27,1422,1422,0,1422,4266,2,0,2,7,3,NWAmes,RL,1Fam,1,0,0,175500
267,6,9,802,802,709,1511,3824,3,1,4,8,3,Gilbert,RL,1Fam,1,0,0,185000
268,5,69,720,1052,720,2192,4684,2,1,3,8,4,SWISU,RL,1Fam,0,0,0,179500
269,5,68,740,778,0,778,2296,1,0,1,4,2,IDOTRR,RM,1Fam,0,0,0,120500
270,6,31,1143,1113,0,1113,3369,2,1,3,6,3,Edwards,RL,1Fam,1,0,0,148000
271,8,0,1095,1095,844,1939,4973,2,1,3,8,3,Somerst,FV,1Fam,1,1,1,266000
272,7,54,1385,1363,0,1363,4111,2,0,2,5,2,ClearCr,RL,1Fam,0,0,0,241500
273,8,11,1152,1164,1106,2270,5692,2,1,3,9,4,NoRidge,RL,1Fam,0,0,0,290000
274,6,51,1240,1632,0,1632,4504,3,0,3,6,3,NAmes,RL,1Fam,0,0,0,139000
275,5,25,816,816,0,816,2448,1,0,1,5,2,Mitchel,RL,1Fam,1,0,0,124500
276,7,84,952,952,596,1548,4048,2,1,3,5,3,BrkSide,RL,1Fam,0,0,0,205000
277,7,7,1560,1560,0,1560,4680,2,0,2,7,3,Mitchel,RL,1Fam,1,0,0,201000
278,4,59,864,864,0,864,2592,1,0,1,4,2,Gilbert,RL,1Fam,1,0,0,141000
279,9,1,2121,2121,0,2121,6363,2,1,3,8,3,NridgHt,RL,1Fam,0,0,1,415298
280,7,31,1160,1156,866,2022,5204,2,1,3,8,4,ClearCr,RL,1Fam,1,0,0,192000
281,7,18,807,1175,807,1982,4771,2,1,3,7,3,SawyerW,RL,1Fam,1,0,0,228500
282,6,0,1262,1262,0,1262,3786,2,0,2,5,2,Somerst,FV,1Fam,1,1,1,185000
283,7,2,1314,1314,0,1314,3942,3,0,3,6,2,NridgHt,RL,Twnhs,0,0,0,207500
284,8,1,1468,1468,0,1468,4404,2,0,2,6,3,Somerst,RL,1Fam,0,0,1,244600
285,6,15,1575,1575,0,1575,4725,3,0,3,5,2,SawyerW,RL,TwnhsE,1,0,0,179200
286,7,1,625,625,625,1250,3125,2,1,3,5,2,Somerst,FV,TwnhsE,0,0,1,164700
287,6,44,912,1085,649,1734,4380,1,1,2,7,3,NAmes,RL,1Fam,0,0,0,159000
288,4,35,858,858,0,858,2574,1,0,1,5,3,NAmes,RL,1Fam,1,0,0,88000
289,5,43,882,900,0,900,2682,1,0,1,5,3,Sawyer,RL,1Fam,1,0,0,122000
290,6,92,698,698,698,1396,3490,1,0,1,7,3,BrkSide,RL,1Fam,0,0,0,153575
291,8,0,1079,1079,840,1919,4917,2,1,3,8,3,CollgCr,RL,1Fam,1,1,1,233230
292,5,96,780,936,780,1716,4212,3,0,3,9,6,SWISU,RL,2fmCon,0,0,0,135900
293,5,60,768,1148,568,1716,4200,1,1,2,8,3,Edwards,RL,1Fam,0,0,0,131000
294,7,29,795,1468,795,2263,5321,3,1,4,9,3,NWAmes,RL,1Fam,0,0,0,235000
295,6,56,1416,1644,0,1644,4704,2,0,2,7,3,NAmes,RL,1Fam,1,0,0,167000
296,6,22,1003,1003,0,1003,3009,2,0,2,6,3,Mitchel,RL,1Fam,1,0,0,142500
297,5,57,910,910,648,1558,4026,1,1,2,6,4,IDOTRR,RM,1Fam,1,0,0,152000
298,7,10,975,975,975,1950,4875,2,1,3,7,3,Somerst,FV,1Fam,0,0,0,239000
299,6,39,702,1041,702,1743,4188,1,3,4,7,3,NWAmes,RL,1Fam,1,0,0,175000
300,6,59,1092,1152,0,1152,3396,1,1,2,6,3,Crawfor,RL,1Fam,0,0,0,158500
301,5,53,1165,1336,0,1336,3837,2,0,2,5,2,Crawfor,RL,2fmCon,1,0,0,157000
302,8,9,1028,1210,1242,2452,5932,2,1,3,9,4,CollgCr,RL,1Fam,0,0,0,267000
303,7,5,1541,1541,0,1541,4623,2,0,2,6,3,CollgCr,RL,1Fam,0,0,0,205000
304,5,34,894,894,0,894,2682,2,0,2,5,3,CollgCr,RL,1Fam,1,0,0,149900
305,7,128,1470,1675,1818,3493,8456,3,0,3,10,3,OldTown,RM,1Fam,0,0,0,295000
306,8,3,2000,2000,0,2000,6000,3,0,3,8,3,CollgCr,RL,1Fam,0,0,0,305900
307,7,17,700,1122,1121,2243,5186,3,1,4,8,4,SawyerW,RL,1Fam,0,0,0,225000
308,6,88,319,1035,371,1406,3131,1,0,1,6,3,IDOTRR,RM,1Fam,0,0,0,89500
309,4,69,861,861,0,861,2583,1,0,1,4,1,Edwards,RL,1Fam,0,0,0,82500
310,9,3,1896,1944,0,1944,5784,3,0,3,8,3,NridgHt,RL,1Fam,0,0,0,360000
311,6,13,697,697,804,1501,3699,2,1,3,6,3,Gilbert,RL,1Fam,0,0,0,165600
312,6,61,972,972,0,972,2916,2,0,2,5,2,NAmes,RL,1Fam,0,0,0,132000
313,5,67,793,793,325,1118,3029,2,0,2,5,3,OldTown,RM,2fmCon,0,0,0,119900
314,7,44,2136,2036,0,2036,6208,4,0,4,8,3,Timber,RL,1Fam,1,0,0,375000
315,7,81,728,832,809,1641,4010,1,2,3,6,3,OldTown,RM,1Fam,0,0,0,178000
316,7,5,716,716,716,1432,3580,3,1,4,6,3,Gilbert,RL,1Fam,0,0,0,188500
317,7,29,845,1153,1200,2353,5551,3,1,4,10,4,NWAmes,RL,1Fam,1,0,0,260000
318,8,1,1088,1088,871,1959,5006,2,1,3,8,3,Somerst,FV,1Fam,1,0,0,270000
319,7,16,1347,1372,1274,2646,6639,3,1,4,9,4,NoRidge,RL,1Fam,1,0,0,260000
320,7,29,1372,1472,0,1472,4316,3,0,3,6,3,NWAmes,RL,1Fam,1,0,0,187500
321,9,0,1249,1249,1347,2596,6441,3,1,4,9,4,NridgHt,RL,1Fam,1,1,1,342643
322,8,3,1136,1136,1332,2468,6072,3,1,4,10,4,NridgHt,RL,1Fam,1,0,0,354000
323,7,21,1502,1553,1177,2730,6962,3,1,4,8,4,SawyerW,RL,1Fam,0,0,0,301000
324,3,51,1162,1163,0,1163,3488,2,0,2,6,3,OldTown,RM,1Fam,0,0,0,126175
325,7,43,710,1898,1080,2978,6666,2,1,3,11,5,NAmes,RL,1Fam,0,0,0,242000
326,5,66,720,803,0,803,2326,1,0,1,5,2,IDOTRR,RM,1Fam,0,0,0,87000
327,8,15,1719,1719,0,1719,5157,3,1,4,6,1,Veenker,RL,TwnhsE,1,0,0,324000
328,6,46,1383,1383,0,1383,4149,1,1,2,7,3,NAmes,RL,1Fam,1,0,0,145250
329,6,93,844,1445,689,2134,5112,2,0,2,10,5,BrkSide,RL,1Fam,0,0,0,214500
330,5,89,596,596,596,1192,2980,1,0,1,6,3,IDOTRR,RM,1Fam,0,0,0,78000
331,5,43,1728,1728,0,1728,5184,2,1,3,10,6,NAmes,RL,Duplex,1,0,0,119000
332,5,49,1056,1056,0,1056,3168,2,0,2,6,3,NAmes,RL,1Fam,0,0,0,139000
333,8,6,3206,1629,0,1629,6464,3,0,3,7,3,NridgHt,RL,1Fam,0,0,0,284000
334,7,4,1358,1358,0,1358,4074,3,0,3,6,2,NridgHt,RM,TwnhsE,1,0,0,207000
335,6,10,943,943,695,1638,4219,3,1,4,7,3,Gilbert,RL,1Fam,1,0,0,192000
336,5,43,1499,1619,167,1786,5071,4,0,4,7,3,Timber,RL,2fmCon,1,0,0,228950
337,9,2,1922,1922,0,1922,5766,3,0,3,8,3,StoneBr,RL,1Fam,0,0,0,377426
338,7,6,1536,1536,0,1536,4608,3,0,3,7,3,CollgCr,RL,1Fam,0,0,0,214000
339,7,22,1208,1621,0,1621,4450,3,0,3,8,3,NWAmes,RL,1Fam,0,0,0,202500
340,6,51,1215,1215,0,1215,3645,1,0,1,6,3,NAmes,RL,1Fam,0,0,0,155000
341,8,8,967,993,915,1908,4783,2,1,3,9,4,Timber,RL,1Fam,1,0,0,202900
342,4,59,721,841,0,841,2403,1,0,1,4,2,SawyerW,RH,1Fam,1,0,0,82000
343,3,57,0,1040,0,1040,2080,2,0,2,6,2,NAmes,RL,Duplex,0,0,0,87500
344,9,3,1684,1684,0,1684,5052,2,0,2,6,2,NridgHt,RL,TwnhsE,1,0,0,266000
345,5,34,536,536,576,1112,2760,1,1,2,4,3,MeadowV,RM,TwnhsE,1,0,0,85000
346,6,67,972,972,605,1577,4126,1,0,1,6,3,BrkSide,RL,1Fam,0,0,0,140200
347,6,47,958,958,0,958,2874,1,0,1,5,2,NAmes,RL,1Fam,0,0,0,151500
348,6,49,1478,1478,0,1478,4434,3,0,3,6,3,NAmes,RL,1Fam,1,0,0,157500
349,7,5,764,764,862,1626,4016,3,1,4,6,2,NridgHt,RL,Twnhs,0,0,0,154000
350,9,1,1848,1848,880,2728,7304,3,1,4,10,4,NridgHt,RL,1Fam,0,0,1,437154
351,9,0,1869,1869,0,1869,5607,2,0,2,6,2,NridgHt,RL,TwnhsE,1,1,1,318061
352,7,20,1453,1453,0,1453,4359,2,1,3,6,2,ClearCr,RL,1Fam,1,0,0,190000
353,5,67,616,616,495,1111,2838,1,1,2,5,3,Edwards,RL,1Fam,0,0,0,95000
354,6,82,624,720,0,720,2064,1,0,1,5,2,OldTown,RM,1Fam,0,0,0,105900
355,6,66,940,1192,403,1595,4130,1,0,1,6,2,SWISU,RL,1Fam,0,0,0,140000
356,6,12,1200,1200,0,1200,3600,3,0,3,6,3,CollgCr,RL,1Fam,1,0,0,177500
357,6,17,1158,1167,0,1167,3492,3,0,3,6,3,Gilbert,RL,1Fam,1,0,0,173000
358,5,31,1142,1142,0,1142,3426,2,1,3,6,3,MeadowV,RM,TwnhsE,1,0,0,134000
359,5,48,1062,1352,0,1352,3766,1,1,2,6,3,ClearCr,RL,1Fam,1,0,0,130000
360,8,8,1086,1086,838,1924,4934,3,1,4,7,3,NoRidge,RL,1Fam,1,0,0,280000
361,6,29,888,912,0,912,2712,2,0,2,5,2,Mitchel,RL,1Fam,1,0,0,156000
362,5,68,883,988,517,1505,3893,2,0,2,8,3,BrkSide,RL,1Fam,0,0,0,145000
363,7,6,0,495,1427,1922,3844,3,0,3,7,4,Edwards,RL,1Fam,1,0,0,198500
364,6,37,483,483,504,987,2457,1,1,2,5,2,BrDale,RM,Twnhs,0,0,0,118000
365,6,30,796,790,784,1574,3944,3,1,4,6,3,NWAmes,RL,1Fam,1,0,0,190000
366,5,89,672,672,672,1344,3360,1,0,1,6,3,IDOTRR,RM,1Fam,0,0,0,147000
367,6,46,1394,1394,0,1394,4182,2,1,3,6,3,NAmes,RL,1Fam,1,0,0,159000
368,6,46,1099,1431,0,1431,3961,1,1,2,6,3,NAmes,RL,1Fam,1,0,0,165000
369,5,56,1268,1268,0,1268,3804,1,0,1,7,2,NAmes,RL,1Fam,1,0,0,132000
370,5,51,1063,1287,0,1287,3637,2,0,2,7,3,NAmes,RL,1Fam,0,0,0,162000
371,6,6,953,953,711,1664,4281,2,1,3,7,3,Gilbert,RL,1Fam,1,0,0,172400
372,4,49,0,1120,468,1588,3176,2,0,2,7,4,ClearCr,RL,1Fam,1,0,0,134432
373,6,26,744,752,0,752,2248,2,0,2,4,2,SawyerW,RL,TwnhsE,1,0,0,125000
374,5,56,608,1319,0,1319,3246,2,0,2,5,3,NAmes,RL,1Fam,1,0,0,123000
375,7,4,847,847,1081,1928,4703,2,1,3,8,4,CollgCr,RL,1Fam,0,0,0,219500
376,1,87,683,904,0,904,2491,1,1,2,4,1,Edwards,RL,1Fam,0,0,0,61000
377,5,10,870,914,0,914,2698,1,0,1,5,2,CollgCr,RL,1Fam,1,0,0,148000
378,8,3,1580,1580,886,2466,6512,3,0,3,8,4,Somerst,FV,1Fam,0,0,0,340000
379,9,0,1856,1856,0,1856,5568,2,1,3,8,1,StoneBr,RL,1Fam,1,1,1,394432
380,6,9,982,1007,793,1800,4582,2,1,3,7,3,Gilbert,RL,1Fam,1,0,0,179000
381,5,86,1026,1026,665,1691,4408,2,0,2,6,3,SWISU,RL,1Fam,0,0,0,127000
382,7,0,1293,1301,0,1301,3895,3,0,3,5,2,Somerst,FV,1Fam,1,1,1,187750
383,7,1,939,939,858,1797,4533,2,1,3,8,3,CollgCr,RL,1Fam,1,0,0,213500
384,6,81,784,784,0,784,2352,1,0,1,5,2,SawyerW,RH,1Fam,0,0,0,76000
385,6,15,1580,1079,874,1953,5486,3,1,4,9,3,ClearCr,RL,1Fam,1,0,0,240000
386,8,6,1256,1269,0,1269,3794,2,0,2,6,2,Blmngtn,RL,TwnhsE,0,0,0,192000
387,5,96,658,658,526,1184,3026,1,0,1,8,5,Edwards,RL,1Fam,0,0,0,81000
388,6,33,1041,1125,0,1125,3291,2,0,2,6,3,Edwards,RL,1Fam,1,0,0,125000
389,7,9,1468,1479,0,1479,4426,2,0,2,6,3,CollgCr,RL,1Fam,0,0,0,191000
390,10,1,1682,1742,590,2332,6346,3,1,4,9,3,NridgHt,RL,1Fam,0,0,1,426000
391,5,108,861,961,406,1367,3595,2,0,2,7,4,Edwards,RL,1Fam,0,0,0,119000
392,6,8,804,804,1157,1961,4726,3,1,4,7,3,Mitchel,RL,1Fam,0,0,0,215000
393,5,48,0,882,0,882,1764,1,0,1,5,3,NAmes,RL,1Fam,1,0,0,106500
394,4,65,788,788,0,788,2364,1,0,1,4,2,BrkSide,RL,1Fam,0,0,0,100000
395,5,67,735,735,299,1034,2803,1,0,1,5,2,OldTown,RL,1Fam,0,0,0,109000
396,5,54,1144,1144,0,1144,3432,2,0,2,6,3,Edwards,RL,1Fam,1,0,0,129000
397,5,37,894,894,0,894,2682,1,0,1,6,2,CollgCr,RL,1Fam,1,0,0,123000
398,5,45,864,876,936,1812,4488,2,0,2,8,4,NAmes,RL,1Fam,1,0,0,169500
399,5,87,961,1077,0,1077,3115,1,0,1,6,2,IDOTRR,RM,1Fam,0,0,0,67000
400,7,3,1092,1112,438,1550,4192,3,0,3,7,2,Somerst,FV,1Fam,0,0,0,241000
401,8,12,1260,1288,0,1288,3836,2,1,3,4,1,Veenker,RL,TwnhsE,1,0,0,245500
402,7,1,1310,1310,0,1310,3930,2,0,2,6,3,CollgCr,RL,1Fam,1,0,1,164990
403,5,68,672,672,0,672,2016,1,0,1,4,2,Sawyer,RL,1Fam,0,0,0,108000
404,8,8,1141,1165,1098,2263,5667,2,1,3,10,4,NoRidge,RL,1Fam,1,0,0,258000
405,6,12,806,806,766,1572,3950,2,1,3,7,3,Gilbert,RL,1Fam,0,0,0,168000
406,4,33,1281,1620,0,1620,4521,3,0,3,8,3,Sawyer,RL,1Fam,0,0,0,150000
407,6,72,1064,1166,0,1639,3869,1,0,1,6,3,SWISU,RL,1Fam,0,0,0,115000
408,6,93,840,840,840,1680,4200,2,0,2,8,4,Crawfor,RL,1Fam,0,0,0,177000
409,7,1,1063,1071,1101,2172,5407,2,1,3,9,3,NridgHt,RL,1Fam,1,0,1,280000
410,8,1,1034,1050,1028,2078,5190,3,1,4,8,3,Somerst,FV,1Fam,0,0,1,339750
411,5,51,1276,1276,0,1276,3828,1,0,1,5,3,Edwards,RL,1Fam,1,0,0,60000
412,5,51,1056,1056,0,1056,3168,2,0,2,5,3,Gilbert,RL,2fmCon,1,0,0,145000
413,7,1,1470,1478,0,1478,4426,3,1,4,7,2,Somerst,FV,1Fam,1,0,1,222000
414,5,83,1008,1028,0,1028,3064,1,0,1,5,2,OldTown,RM,1Fam,0,0,0,115000
415,7,15,1080,1080,1017,2097,5274,2,2,4,9,3,SawyerW,RL,1Fam,1,0,0,228000
416,7,0,1340,1340,0,1340,4020,2,0,2,6,3,Gilbert,RL,1Fam,1,1,1,181134
417,6,28,672,672,728,1400,3472,1,1,2,6,3,Sawyer,RL,1Fam,1,0,0,149500
418,6,89,1370,1370,1254,2624,6618,3,1,4,10,4,Crawfor,RL,1Fam,0,0,0,239000
419,5,67,756,756,378,1134,3024,2,1,3,7,3,Edwards,RL,1Fam,0,0,0,126000
420,5,42,1056,1056,0,1056,3168,2,0,2,6,3,NAmes,RL,1Fam,1,0,0,142000
421,7,11,1344,1344,0,1344,4032,4,0,4,8,2,Mitchel,RM,Duplex,0,0,0,206300
422,6,32,1602,1602,0,1602,4806,2,1,3,8,3,NWAmes,RL,1Fam,0,0,0,215000
423,5,54,988,988,0,988,2964,1,0,1,4,2,Mitchel,RL,1Fam,1,0,0,113000
424,8,10,1470,1470,1160,2630,6730,3,1,4,8,4,NoRidge,RL,1Fam,1,0,0,315000
425,6,52,1196,1196,0,1196,3588,2,0,2,6,2,NAmes,RL,1Fam,1,0,0,139000
426,7,63,651,707,682,1389,3429,1,1,2,6,3,OldTown,RM,1Fam,0,0,0,135000
427,7,20,1518,1644,0,1644,4806,3,1,4,5,2,SawyerW,RL,1Fam,1,0,0,275000
428,4,51,907,907,0,907,2721,1,0,1,5,3,NAmes,RL,1Fam,1,0,0,109008
429,7,0,1208,1208,0,1208,3624,3,0,3,6,2,CollgCr,RL,1Fam,1,1,1,195400
430,6,21,1392,1412,0,1412,4216,3,0,3,6,3,Timber,RL,1Fam,1,0,0,175000
431,6,37,483,483,504,987,2457,1,1,2,4,2,BrDale,RM,Twnhs,1,0,0,85400
432,6,88,901,1088,110,1198,3297,1,0,1,7,4,OldTown,RM,1Fam,0,0,0,79900
433,5,36,765,765,600,1365,3495,2,1,3,6,2,BrDale,RM,TwnhsE,1,0,0,122500
434,6,11,926,926,678,1604,4134,2,1,3,7,3,Gilbert,RL,1Fam,0,0,0,181000
435,4,36,630,630,0,630,1890,2,0,2,3,1,MeadowV,RM,Twnhs,1,0,0,81000
436,7,13,799,827,834,1661,4121,3,1,4,6,3,CollgCr,RL,1Fam,1,0,0,212000
437,6,86,648,734,384,1118,2884,1,0,1,6,2,OldTown,RM,1Fam,0,0,0,116000
438,6,83,884,904,0,904,2692,1,0,1,4,2,BrkSide,RM,1Fam,0,0,0,119000
439,5,94,440,694,0,694,1828,1,0,1,4,2,Crawfor,RL,1Fam,0,0,0,90350
440,6,89,684,684,512,1196,3076,1,0,1,7,3,Edwards,RL,1Fam,0,0,0,110000
441,10,1,3094,2402,0,2402,7898,3,0,3,10,2,NridgHt,RL,1Fam,1,0,0,555000
442,4,53,1440,1440,0,1440,4320,2,0,2,8,4,Edwards,RL,Duplex,1,0,0,118000
443,5,78,1078,1128,445,1573,4224,2,0,2,8,3,BrkSide,RM,1Fam,0,0,0,162900
444,7,1,1258,1258,0,1258,3774,2,0,2,6,2,Blmngtn,RL,TwnhsE,0,0,1,172500
445,7,14,915,933,975,1908,4731,3,1,4,8,4,CollgCr,RL,1Fam,0,0,0,210000
446,6,53,1436,1689,0,1689,4814,1,0,1,7,3,Edwards,RL,1Fam,1,0,0,127500
447,6,44,1517,1888,0,1888,5293,2,1,3,6,2,NAmes,RL,1Fam,0,0,0,190000
448,7,8,930,956,930,1886,4702,2,1,3,10,4,Gilbert,RL,1Fam,0,0,0,199900
449,6,69,780,780,596,1376,3532,2,0,2,7,3,IDOTRR,RM,1Fam,0,0,0,119500
450,3,59,649,679,504,1183,3015,1,1,2,6,2,OldTown,RM,1Fam,0,0,0,120000
451,6,76,813,813,0,813,2439,1,0,1,5,2,OldTown,RM,1Fam,0,0,0,110000
452,7,31,1533,1533,0,1533,4599,3,0,3,5,2,ClearCr,RL,1Fam,1,0,0,280000
453,6,11,872,888,868,1756,4384,3,1,4,7,3,Timber,RL,1Fam,0,0,0,204000
454,8,1,768,786,804,1590,3948,2,1,3,6,3,Somerst,FV,1Fam,1,0,0,210000
455,5,30,1728,1728,0,1728,5184,4,0,4,8,4,Mitchel,RL,Duplex,1,0,0,188000
456,7,34,1242,1242,0,1242,3726,1,1,2,6,3,NWAmes,RL,1Fam,1,0,0,175500
457,5,92,624,624,720,1344,3312,1,0,1,7,4,OldTown,RM,1Fam,0,0,0,98000
458,4,54,1364,1663,0,1663,4690,2,0,2,6,2,ClearCr,RL,1Fam,0,0,0,256000
459,8,83,588,833,833,1666,3920,1,0,1,7,3,OldTown,RM,1Fam,0,0,0,161000
460,5,59,709,979,224,1203,3115,2,0,2,5,3,BrkSide,RL,1Fam,1,0,0,110000
461,8,0,832,832,1103,1935,4702,3,1,4,8,3,Somerst,FV,1Fam,1,1,1,263435
462,7,73,560,575,560,1135,2830,2,0,2,6,3,SWISU,RL,1Fam,0,0,0,155000
463,5,44,864,864,0,864,2592,1,0,1,5,3,Sawyer,RL,1Fam,1,0,0,62383
464,6,74,715,849,811,1660,4035,1,1,2,6,3,Crawfor,RL,1Fam,0,0,0,188700
465,5,31,1040,1040,0,1040,3120,2,0,2,5,3,CollgCr,RL,1Fam,1,0,0,124000
466,7,2,1375,1414,0,1414,4203,2,0,2,6,2,Blmngtn,RM,TwnhsE,1,0,0,178740
467,7,37,1277,1277,0,1277,3831,2,0,2,5,2,NAmes,RL,1Fam,1,0,0,167000
468,5,65,728,888,756,1644,4016,1,1,2,7,3,NAmes,RL,1Fam,0,0,0,146500
469,8,1,1626,1634,0,1634,4894,2,0,2,7,3,NridgHt,RL,1Fam,1,0,0,250000
470,6,15,832,832,878,1710,4252,2,1,3,7,3,SawyerW,RL,1Fam,1,0,0,187000
471,8,25,1488,1502,0,1502,4492,2,1,3,4,1,StoneBr,RL,TwnhsE,1,0,0,212000
472,7,30,808,1161,808,1969,4746,2,1,3,8,3,NWAmes,RL,1Fam,1,0,0,190000
473,6,3,547,1072,0,1072,2691,2,0,2,5,2,Edwards,RM,TwnhsE,1,0,0,148000
474,8,1,1976,1976,0,1976,5928,3,0,3,7,2,NridgHt,RL,1Fam,0,0,1,440000
475,8,7,1494,1652,0,1652,4798,3,0,3,6,2,StoneBr,RL,TwnhsE,1,0,0,251000
476,5,44,970,970,0,970,2910,2,0,2,5,2,Sawyer,RL,1Fam,1,0,0,132500
477,6,11,1478,1493,0,1493,4464,3,0,3,7,3,CollgCr,RL,1Fam,0,0,0,208900
478,9,1,2153,2069,574,2643,7439,2,1,3,9,3,NridgHt,RL,1Fam,1,0,0,380000
479,8,2,1705,1718,0,1718,5141,3,0,3,7,3,CollgCr,RL,1Fam,0,0,0,297000
480,4,70,907,1131,0,1131,3169,1,0,1,7,2,OldTown,RM,1Fam,0,0,0,89471
481,9,2,1833,1850,0,1850,5533,3,0,3,8,3,NridgHt,RL,1Fam,0,0,0,326000
482,9,3,1792,1792,0,1792,5376,3,0,3,6,2,NridgHt,RL,1Fam,0,0,0,374000
483,7,94,910,916,910,1826,4562,2,1,3,7,4,OldTown,RM,1Fam,0,0,0,155000
484,6,8,1216,1216,0,1216,3648,3,0,3,5,2,Mitchel,RM,Twnhs,1,0,0,164000
485,5,45,999,999,0,999,2997,2,0,2,6,3,Sawyer,RL,1Fam,0,0,0,132500
486,5,59,1113,1113,0,1113,3339,1,0,1,5,3,NAmes,RL,1Fam,0,0,0,147000
487,5,42,1073,1073,0,1073,3219,2,1,3,6,3,NAmes,RL,1Fam,1,0,0,156000
488,5,36,1484,1484,0,1484,4452,2,0,2,7,3,NWAmes,RL,1Fam,1,0,0,175000
489,5,106,954,1766,648,2414,5782,2,0,2,10,3,OldTown,RL,2fmCon,0,0,0,160000
490,4,39,630,630,0,630,1890,2,0,2,3,1,MeadowV,RM,Twnhs,0,0,0,86000
491,5,32,264,616,688,1304,2872,1,1,2,4,3,MeadowV,RM,TwnhsE,1,0,0,115000
492,6,65,806,958,620,1578,3962,2,0,2,5,3,NAmes,RL,1Fam,0,0,0,133000
493,6,0,728,728,728,1456,3640,2,1,3,8,3,Gilbert,RL,1Fam,1,1,1,172785
494,5,48,1269,1269,0,1269,3807,1,1,2,6,3,NAmes,RL,1Fam,1,0,0,155000
495,5,71,190,886,0,886,1962,1,0,1,4,2,OldTown,RM,1Fam,0,0,0,91300
496,4,89,720,720,0,720,2160,1,0,1,4,2,IDOTRR,C (all),1Fam,0,0,0,34900
497,8,15,3200,3228,0,3228,9656,4,0,4,10,4,NoRidge,RL,1Fam,0,0,0,430000
498,7,83,1026,1133,687,1820,4666,3,0,3,8,4,BrkSide,RL,1Fam,0,0,0,184000
499,5,42,864,899,0,899,2662,1,0,1,5,3,Sawyer,RL,1Fam,0,0,0,130000
500,5,49,912,912,0,912,2736,1,1,2,5,2,NAmes,RL,1Fam,0,0,0,120000
501,6,34,672,672,546,1218,3108,1,1,2,7,3,BrDale,RM,Twnhs,1,0,0,113000
502,7,3,866,866,902,1768,4402,2,1,3,7,3,Somerst,FV,1Fam,1,0,0,226700
503,5,42,1214,1214,0,1214,3642,2,0,2,6,2,Edwards,RL,1Fam,1,0,0,140000
504,7,51,1501,1801,0,1801,5103,3,0,3,6,1,Crawfor,RL,1Fam,0,0,0,289000
505,6,35,855,855,467,1322,3499,2,2,4,6,3,NPkVill,RL,TwnhsE,1,0,0,147000
506,5,57,960,960,1000,1960,4880,2,0,2,10,4,OldTown,RM,Duplex,1,0,0,124500
507,8,13,777,1065,846,1911,4599,2,1,3,8,3,SawyerW,RL,1Fam,0,0,0,215000
508,6,0,1218,1218,0,1218,3654,2,0,2,4,2,Somerst,FV,1Fam,1,1,1,208300
509,7,80,689,689,689,1378,3445,2,0,2,7,3,OldTown,RM,1Fam,0,0,0,161000
510,5,50,1041,1041,0,1041,3123,2,0,2,6,3,NAmes,RL,1Fam,1,0,0,124500
511,5,58,1008,1363,0,1363,3734,2,0,2,6,2,NAmes,RL,1Fam,0,0,0,164900
512,7,1,1368,1368,0,1368,4104,2,0,2,6,2,NridgHt,RL,TwnhsE,0,0,1,202665
513,5,48,864,864,0,864,2592,2,0,2,5,3,NAmes,RL,1Fam,1,0,0,129900
514,6,24,1084,1080,0,1080,3244,1,1,2,5,3,Mitchel,RL,1Fam,1,0,0,134000
515,5,81,768,789,0,789,2346,1,0,1,5,2,Crawfor,RL,1Fam,0,0,0,96500
516,10,0,2006,2020,0,2020,6046,3,1,4,9,3,NridgHt,RL,1Fam,1,1,1,402861
517,6,37,689,1378,741,2119,4927,2,1,3,7,3,NWAmes,RL,1Fam,1,0,0,158000
518,7,13,1264,1277,1067,2344,5952,2,1,3,7,3,NoRidge,RL,1Fam,0,0,0,265000
519,6,9,794,882,914,1796,4386,3,1,4,7,3,CollgCr,RL,1Fam,1,0,0,211000
520,7,83,1276,1276,804,2080,5436,1,1,2,9,3,Crawfor,RL,1Fam,0,0,0,234000
521,4,108,0,694,600,1294,2588,2,0,2,7,3,OldTown,RL,2fmCon,0,0,0,106250
522,6,50,1244,1244,0,1244,3732,1,1,2,6,3,NAmes,RL,1Fam,1,0,0,150000
523,6,59,1004,1004,660,1664,4332,2,0,2,7,3,BrkSide,RM,1Fam,0,0,0,159000
524,10,0,3138,3138,1538,4676,12490,4,1,5,11,3,Edwards,RL,1Fam,0,1,1,184750
525,7,11,1379,1383,1015,2398,6175,3,1,4,8,3,NoRidge,RL,1Fam,0,0,0,315750
526,7,1,1257,1266,0,1266,3789,2,0,2,6,3,Somerst,FV,1Fam,1,0,0,176000
527,5,51,928,928,0,928,2784,1,0,1,4,2,NAmes,RL,1Fam,0,0,0,132000
528,9,0,1452,1476,1237,2713,6878,3,1,4,11,3,NridgHt,RL,1Fam,1,1,1,446261
529,4,87,528,605,0,605,1738,2,0,2,5,2,Edwards,RL,1Fam,0,0,0,86000
530,6,50,2035,2515,0,2515,7065,4,0,4,9,4,Crawfor,RL,1Fam,0,0,0,200624
531,6,20,1461,1509,0,1509,4479,3,0,3,5,3,Timber,RL,1Fam,0,0,0,175000
