Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageCars,MoSold,YrSold,SaleType,SaleCondition,SalePrice,SalePriceBand,HasPorch,Remodelled,PropertyAge,TotalBath,HasPool,HasDeck,TotalArea,IsNew,IsPartial
404,60,RL,93.0,12090,Reg,Corner,NoRidge,1Fam,2Story,8,5,Hip,VinylSd,VinylSd,BrkFace,650.0,4,3,PConc,4,3,No,Unf,0,0,1141,1141,4,Y,1165,1098,2263,2,1,4,4,10,1,3,2,7,1,WD,Abnorml,258000,8,1,1,8,3,0,1,5667,0,0
405,60,RL,MasVnrArea,10364,IR1,Inside,Gilbert,1Fam,2Story,6,5,Gable,MetalSd,MetalSd,None,0.0,3,3,PConc,4,3,No,Unf,0,0,806,806,4,Y,806,766,1572,2,1,3,3,7,1,3,2,5,2,WD,Normal,168000,5,1,0,12,3,0,0,3950,0,0
406,20,RL,MasVnrArea,9991,IR1,Corner,Sawyer,1Fam,1Story,4,4,Gable,Plywood,Plywood,None,0.0,3,3,CBlock,3,3,No,BLQ,1116,0,165,1281,5,Y,1620,0,1620,3,0,3,3,8,1,3,2,6,4,WD,Normal,150000,4,1,0,33,3,0,1,4521,0,0
407,50,RL,51.0,10480,Reg,Inside,SWISU,1Fam,1.5Fin,6,5,Gable,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,No,Unf,0,0,1064,1064,5,Y,1166,0,1639,1,0,3,3,6,0,None,1,3,3,WD,Normal,115000,1,0,0,72,1,0,0,3869,0,0
408,70,RL,63.0,15576,Reg,Inside,Crawfor,1Fam,2Story,6,7,Gable,Wd Sdng,Plywood,None,0.0,3,3,BrkTil,4,3,No,Unf,0,0,840,840,5,Y,840,840,1680,2,0,4,3,8,0,None,1,3,3,WD,Normal,177000,5,0,0,93,2,0,0,4200,0,0
409,60,RL,109.0,14154,Reg,Corner,NridgHt,1Fam,2Story,7,5,Gable,VinylSd,VinylSd,BrkFace,350.0,4,3,PConc,5,4,No,Unf,0,0,1063,1063,5,Y,1071,1101,2172,2,1,3,4,9,1,4,3,8,2,New,Partial,280000,9,1,1,1,3,0,1,5407,0,1
410,60,FV,85.0,10800,Reg,Inside,Somerst,1Fam,2Story,8,5,Gable,VinylSd,VinylSd,Stone,100.0,4,3,PConc,5,3,No,GLQ,789,0,245,1034,5,Y,1050,1028,2078,3,1,3,5,8,1,4,3,4,3,New,Partial,339750,9,1,0,1,4,0,0,5190,0,1
411,20,RL,68.0,9571,Reg,Inside,Edwards,1Fam,1Story,5,3,Gable,BrkComm,Brk Cmn,None,0.0,3,2,CBlock,3,2,No,Unf,0,0,1276,1276,3,Y,1276,0,1276,1,0,3,3,5,0,None,1,6,4,COD,Abnorml,60000,0,0,1,51,1,0,0,3828,0,0
412,190,RL,100.0,34650,Reg,Inside,Gilbert,2fmCon,1Story,5,5,Hip,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,Mn,Rec,1056,0,0,1056,3,N,1056,0,1056,2,0,3,3,5,0,None,2,1,1,WD,Normal,145000,3,0,1,51,2,0,1,3168,0,0
413,20,FV,MasVnrArea,4403,IR2,Inside,Somerst,1Fam,1Story,7,5,Gable,MetalSd,MetalSd,Stone,432.0,5,3,PConc,5,3,Av,GLQ,578,0,892,1470,5,Y,1478,0,1478,3,1,2,4,7,1,4,2,6,5,New,Partial,222000,7,1,1,1,4,0,0,4426,0,1
414,30,RM,56.0,8960,Reg,Inside,OldTown,1Fam,1Story,5,6,Gable,WdShing,Wd Shng,None,0.0,3,3,CBlock,3,3,No,Unf,0,0,1008,1008,4,Y,1028,0,1028,1,0,2,3,5,1,4,2,3,5,WD,Normal,115000,1,0,0,83,1,0,0,3064,0,0
415,60,RL,59.0,11228,IR2,CulDSac,SawyerW,1Fam,2Story,7,5,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,No,BLQ,50,531,499,1080,5,Y,1080,1017,2097,2,2,3,4,9,1,3,3,12,3,WD,Normal,228000,7,1,1,15,4,0,1,5274,0,0
416,20,RL,73.0,8899,IR1,Inside,Gilbert,1Fam,1Story,7,5,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,Av,GLQ,24,0,1316,1340,5,Y,1340,0,1340,2,0,3,4,6,0,None,2,8,2,New,Partial,181134,6,1,1,0,2,0,1,4020,1,1
417,60,RL,74.0,7844,Reg,Inside,Sawyer,1Fam,2Story,6,7,Hip,HdBoard,HdBoard,BrkFace,203.0,3,3,CBlock,3,3,No,ALQ,209,0,463,672,3,Y,672,728,1400,1,1,3,3,6,1,3,2,3,1,WD,Normal,149500,4,0,1,28,2,0,0,3472,0,0
418,70,RL,86.0,22420,IR1,Inside,Crawfor,1Fam,2Story,6,6,Hip,Wd Sdng,Stucco,None,0.0,3,3,BrkTil,4,3,No,BLQ,1128,0,242,1370,3,N,1370,1254,2624,3,1,4,3,10,1,4,3,11,2,WD,Normal,239000,8,0,0,89,4,0,0,6618,0,0
419,50,RL,60.0,8160,Reg,Inside,Edwards,1Fam,1.5Fin,5,6,Gable,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,No,ALQ,312,0,444,756,2,N,756,378,1134,2,1,3,3,7,0,None,1,4,2,WD,AdjLand,126000,2,0,0,67,3,0,0,3024,0,0
420,20,RL,65.0,8450,Reg,Inside,NAmes,1Fam,1Story,5,6,Gable,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,No,BLQ,775,0,281,1056,5,Y,1056,0,1056,2,0,3,3,6,1,2,1,7,5,WD,Normal,142000,3,1,1,42,2,0,0,3168,0,0
421,90,RM,78.0,7060,Reg,Inside,Mitchel,Duplex,SFoyer,7,5,Gable,VinylSd,VinylSd,BrkFace,200.0,3,4,PConc,4,4,Gd,GLQ,1309,0,35,1344,5,Y,1344,0,1344,4,0,2,3,8,0,None,4,11,3,WD,Alloca,206300,7,0,0,11,4,0,0,4032,0,0
422,20,RL,MasVnrArea,16635,IR1,FR2,NWAmes,1Fam,1Story,6,7,Gable,CemntBd,CmentBd,Stone,126.0,4,3,CBlock,4,3,No,ALQ,1246,0,356,1602,4,Y,1602,0,1602,2,1,3,4,8,1,3,2,6,4,WD,Normal,215000,7,0,0,32,3,0,1,4806,0,0
423,20,RL,100.0,21750,Reg,Inside,Mitchel,1Fam,1Story,5,5,Hip,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,No,Unf,0,0,988,988,5,Y,988,0,988,1,0,2,3,4,0,None,2,2,3,WD,Normal,113000,1,0,1,54,1,0,0,2964,0,0
424,60,RL,80.0,9200,Reg,Inside,NoRidge,1Fam,2Story,8,5,Gable,VinylSd,VinylSd,BrkFace,473.0,4,3,PConc,4,3,No,GLQ,986,0,484,1470,4,Y,1470,1160,2630,3,1,4,4,8,1,3,3,6,3,WD,Normal,315000,9,1,1,10,4,0,0,6730,0,0
425,20,RL,72.0,9000,Reg,Inside,NAmes,1Fam,1Story,6,5,Gable,Wd Sdng,Wd Sdng,BrkFace,74.0,3,3,CBlock,4,3,No,LwQ,616,0,580,1196,4,Y,1196,0,1196,2,0,2,3,6,1,4,1,5,3,WD,Normal,139000,3,1,1,52,2,0,0,3588,0,0
426,60,RM,60.0,3378,Reg,Inside,OldTown,1Fam,2Story,7,8,Gable,HdBoard,HdBoard,None,0.0,3,4,CBlock,3,3,No,Unf,0,0,651,651,4,Y,707,682,1389,1,1,3,3,6,2,4,1,9,4,WD,Normal,135000,2,0,0,63,2,0,0,3429,0,0
427,80,RL,MasVnrArea,12800,Reg,Inside,SawyerW,1Fam,SLvl,7,5,Gable,Wd Sdng,Wd Sdng,BrkFace,145.0,4,3,PConc,4,3,Gd,GLQ,1518,0,0,1518,4,Y,1644,0,1644,3,1,2,4,5,1,3,2,8,4,WD,Normal,275000,8,0,1,20,4,0,1,4806,0,0
428,20,RL,77.0,8593,IR1,Inside,NAmes,1Fam,1Story,4,6,Hip,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,No,Rec,288,0,619,907,5,Y,907,0,907,1,0,3,3,5,0,None,1,7,3,WD,Normal,109008,1,0,1,51,1,0,0,2721,0,0
429,20,RL,64.0,6762,Reg,Inside,CollgCr,1Fam,1Story,7,5,Gable,VinylSd,VinylSd,BrkFace,108.0,4,3,PConc,4,3,No,GLQ,664,0,544,1208,5,Y,1208,0,1208,3,0,2,4,6,0,None,2,9,2,New,Partial,195400,6,1,1,0,3,0,1,3624,1,1
430,20,RL,130.0,11457,IR1,Corner,Timber,1Fam,1Story,6,5,Gable,HdBoard,HdBoard,None,0.0,3,3,CBlock,4,3,Mn,GLQ,1005,0,387,1392,3,Y,1412,0,1412,3,0,3,4,6,1,3,2,3,4,WD,Normal,175000,5,0,1,21,3,0,0,4216,0,0
431,160,RM,21.0,1680,Reg,Inside,BrDale,Twnhs,2Story,6,5,Gable,HdBoard,HdBoard,BrkFace,232.0,3,3,CBlock,3,3,No,ALQ,387,0,96,483,3,Y,483,504,987,1,1,2,3,4,0,None,1,7,3,COD,Abnorml,85400,0,0,1,37,2,0,0,2457,0,0
432,50,RM,60.0,5586,IR1,Inside,OldTown,1Fam,1.5Fin,6,7,Gable,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,No,Unf,0,0,901,901,4,Y,1088,110,1198,1,0,4,3,7,0,None,0,9,3,ConLD,Abnorml,79900,0,1,0,88,1,0,0,3297,0,0
433,160,RM,24.0,1920,Reg,Inside,BrDale,TwnhsE,2Story,5,5,Gable,HdBoard,HdBoard,BrkFace,376.0,3,3,CBlock,3,3,No,ALQ,471,0,294,765,5,Y,765,600,1365,2,1,2,3,6,0,None,2,8,2,WD,Normal,122500,1,1,1,36,3,0,1,3495,0,0
434,60,RL,100.0,10839,IR1,Corner,Gilbert,1Fam,2Story,6,5,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,No,Unf,0,0,926,926,5,Y,926,678,1604,2,1,3,3,7,1,3,2,7,3,WD,Normal,181000,6,1,0,11,3,0,0,4134,0,0
435,180,RM,21.0,1890,Reg,Inside,MeadowV,Twnhs,SFoyer,4,7,Gable,CemntBd,CmentBd,None,0.0,3,4,CBlock,4,3,Av,ALQ,495,0,135,630,4,Y,630,0,630,2,0,1,3,3,0,None,0,6,3,WD,Normal,81000,0,0,1,36,2,0,1,1890,0,0
436,60,RL,43.0,10667,IR2,CulDSac,CollgCr,1Fam,2Story,7,6,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,Av,GLQ,385,344,70,799,5,Y,827,834,1661,3,1,3,4,6,1,3,2,4,4,ConLw,Normal,212000,7,1,1,13,4,0,1,4121,0,0
437,50,RM,40.0,4400,Reg,Inside,OldTown,1Fam,1.5Fin,6,8,Gable,Stucco,Stucco,None,0.0,3,3,BrkTil,2,3,No,Unf,0,0,648,648,3,Y,734,384,1118,1,0,2,3,6,0,None,2,10,1,WD,Normal,116000,1,0,0,86,1,0,0,2884,0,0
438,45,RM,50.0,6000,Reg,Inside,BrkSide,1Fam,1.5Unf,6,7,Gable,Wd Sdng,Wd Sdng,None,0.0,4,3,PConc,3,3,No,Unf,0,0,884,884,4,Y,904,0,904,1,0,2,3,4,0,None,1,1,4,WD,Normal,119000,1,0,0,83,1,0,0,2692,0,0
439,30,RL,40.0,4280,Reg,Inside,Crawfor,1Fam,1Story,5,6,Gable,WdShing,Stucco,None,0.0,3,3,PConc,3,3,No,LwQ,365,0,75,440,3,N,694,0,694,1,0,2,4,4,1,4,1,3,2,WD,Normal,90350,0,0,0,94,1,0,0,1828,0,0
440,50,RL,67.0,12354,Reg,Corner,Edwards,1Fam,1.5Fin,6,8,Gable,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,2,Mn,Unf,0,0,684,684,4,Y,684,512,1196,1,0,3,4,7,0,None,2,8,4,ConLI,Normal,110000,1,1,0,89,1,0,0,3076,0,0
441,20,RL,105.0,15431,Reg,Inside,NridgHt,1Fam,1Story,10,5,Hip,VinylSd,VinylSd,Stone,200.0,5,3,PConc,5,3,Gd,GLQ,1767,539,788,3094,5,Y,2402,0,2402,3,0,2,5,10,2,4,3,4,4,WD,Normal,555000,9,1,1,1,3,0,0,7898,0,0
442,90,RL,92.0,12108,Reg,Inside,Edwards,Duplex,1Story,4,4,Gable,VinylSd,VinylSd,BrkFace,270.0,3,3,CBlock,3,3,No,ALQ,133,0,1307,1440,3,N,1440,0,1440,2,0,4,2,8,0,None,0,9,3,WD,Normal,118000,1,0,1,53,2,0,0,4320,0,0
443,50,RM,52.0,6240,Reg,Inside,BrkSide,1Fam,1.5Fin,5,7,Gable,MetalSd,MetalSd,None,0.0,3,3,PConc,3,3,No,Unf,0,0,1078,1078,3,Y,1128,445,1573,2,0,3,3,8,1,4,2,6,3,WD,Normal,162900,4,0,0,78,2,0,0,4224,0,0
444,120,RL,53.0,3922,Reg,Inside,Blmngtn,TwnhsE,1Story,7,5,Gable,WdShing,Wd Shng,BrkFace,72.0,4,3,PConc,5,3,Av,Unf,0,0,1258,1258,5,Y,1258,0,1258,2,0,2,4,6,1,4,3,6,2,New,Partial,172500,5,1,0,1,2,0,1,3774,0,1
445,60,RL,70.0,8750,Reg,Inside,CollgCr,1Fam,2Story,7,5,Gable,VinylSd,VinylSd,None,0.0,4,4,PConc,4,3,No,GLQ,642,0,273,915,5,Y,933,975,1908,3,1,4,4,8,1,3,2,7,3,WD,Normal,210000,7,1,0,14,4,0,1,4731,0,0
446,20,RL,73.0,9855,Reg,Corner,Edwards,1Fam,1Story,6,5,Hip,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,No,Unf,0,0,1436,1436,2,Y,1689,0,1689,1,0,3,3,7,1,4,2,11,4,COD,Normal,127500,2,0,1,53,1,0,0,4814,0,0
447,20,RL,137.0,16492,IR1,Corner,NAmes,1Fam,1Story,6,6,Gable,BrkFace,Plywood,None,0.0,4,3,CBlock,3,3,No,ALQ,247,713,557,1517,5,Y,1888,0,1888,2,1,2,4,6,1,4,2,6,5,WD,Normal,190000,6,0,0,44,3,0,0,5293,0,0
448,60,RL,MasVnrArea,11214,IR1,Corner,Gilbert,1Fam,2Story,7,5,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,No,Unf,0,0,930,930,4,Y,956,930,1886,2,1,4,4,10,1,3,2,7,1,WD,Normal,199900,7,0,0,8,3,0,1,4702,0,0
449,50,RM,50.0,8600,Reg,Inside,IDOTRR,1Fam,1.5Fin,6,6,Gable,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,No,Unf,0,0,780,780,3,Y,780,596,1376,2,0,3,3,7,1,4,1,6,1,WD,Normal,119500,1,0,0,69,2,0,0,3532,0,0
450,50,RM,50.0,6000,Reg,Inside,OldTown,1Fam,1.5Fin,3,7,Gable,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,No,ALQ,331,0,318,649,5,Y,679,504,1183,1,1,2,3,6,0,None,1,6,2,WD,Normal,120000,1,1,0,59,2,0,0,3015,0,0
451,30,RM,70.0,5684,Reg,Inside,OldTown,1Fam,1Story,6,8,Hip,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,No,Unf,0,0,813,813,5,Y,813,0,813,1,0,2,4,5,0,None,1,6,1,WD,Normal,110000,1,1,0,76,1,0,0,2439,0,0
452,20,RL,62.0,70761,IR1,Inside,ClearCr,1Fam,1Story,7,5,Gable,Plywood,Plywood,None,0.0,3,3,CBlock,4,3,Gd,ALQ,655,0,878,1533,3,Y,1533,0,1533,3,0,2,4,5,2,3,2,12,1,WD,Normal,280000,9,1,1,31,3,0,1,4599,0,0
453,60,RL,MasVnrArea,9303,IR1,Corner,Timber,1Fam,2Story,6,5,Hip,VinylSd,VinylSd,BrkFace,42.0,4,3,PConc,5,3,No,ALQ,742,0,130,872,5,Y,888,868,1756,3,1,3,3,7,0,None,2,7,2,WD,Normal,204000,7,1,0,11,4,0,1,4384,0,0
454,60,FV,75.0,9000,Reg,Inside,Somerst,1Fam,2Story,8,5,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,No,Unf,0,0,768,768,5,Y,786,804,1590,2,1,3,4,6,0,None,2,6,4,WD,Normal,210000,7,1,1,1,3,0,0,3948,0,0
455,90,RL,63.0,9297,Reg,Inside,Mitchel,Duplex,1Story,5,5,Gable,Plywood,Plywood,None,0.0,3,3,CBlock,3,3,No,ALQ,1606,0,122,1728,3,Y,1728,0,1728,4,0,4,3,8,0,None,2,7,1,WD,Family,188000,6,0,1,30,4,0,0,5184,0,0
456,20,RL,80.0,9600,Reg,Inside,NWAmes,1Fam,1Story,7,6,Hip,HdBoard,HdBoard,BrkFace,320.0,3,3,CBlock,3,3,No,ALQ,916,0,326,1242,2,Y,1242,0,1242,1,1,3,3,6,1,3,2,9,2,WD,Normal,175500,5,0,1,34,2,0,0,3726,0,0
457,70,RM,34.0,4571,Reg,Inside,OldTown,1Fam,2Story,5,5,Gable,AsbShng,AsbShng,None,0.0,3,3,BrkTil,3,3,No,Unf,0,0,624,624,2,N,624,720,1344,1,0,4,3,7,0,None,3,5,3,COD,Abnorml,98000,0,0,0,92,1,0,0,3312,0,0
458,20,RL,MasVnrArea,53227,IR1,CulDSac,ClearCr,1Fam,1Story,4,6,Flat,Plywood,Plywood,None,0.0,3,3,CBlock,4,3,Gd,BLQ,1116,0,248,1364,5,Y,1663,0,1663,2,0,2,4,6,2,4,2,3,3,WD,Normal,256000,8,1,0,54,2,0,1,4690,0,0
459,70,RM,MasVnrArea,5100,Reg,Inside,OldTown,1Fam,2Story,8,7,Hip,Stucco,Wd Shng,None,0.0,3,4,PConc,3,3,No,Unf,0,0,588,588,2,Y,833,833,1666,1,0,3,4,7,1,4,1,6,3,WD,Normal,161000,4,1,0,83,1,0,1,3920,0,0
460,50,RL,MasVnrArea,7015,IR1,Corner,BrkSide,1Fam,1.5Fin,5,4,Gable,MetalSd,MetalSd,BrkCmn,161.0,3,3,CBlock,3,3,No,LwQ,185,0,524,709,3,Y,979,224,1203,2,0,3,4,5,1,3,1,7,4,WD,Normal,110000,1,0,1,59,2,0,0,3115,0,0
461,60,FV,75.0,8004,IR1,Inside,Somerst,1Fam,2Story,8,5,Gable,VinylSd,VinylSd,Stone,110.0,4,3,PConc,4,3,No,GLQ,544,0,288,832,5,Y,832,1103,1935,3,1,3,3,8,0,None,2,12,4,New,Partial,263435,8,1,1,0,4,0,0,4702,1,1
462,70,RL,60.0,7200,Reg,Inside,SWISU,1Fam,2Story,7,9,Gable,Wd Sdng,Wd Sdng,None,0.0,4,4,PConc,4,4,No,ALQ,350,210,0,560,5,Y,575,560,1135,2,0,3,4,6,0,None,2,4,4,WD,Normal,155000,4,0,0,73,2,0,1,2830,0,0
463,20,RL,60.0,8281,IR1,Inside,Sawyer,1Fam,1Story,5,5,Gable,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,No,Rec,553,311,0,864,4,Y,864,0,864,1,0,3,3,5,1,1,1,12,4,WD,Normal,62383,0,0,1,44,1,0,0,2592,0,0
464,70,RL,74.0,11988,IR1,Inside,Crawfor,1Fam,2Story,6,7,Hip,Stucco,Stucco,None,0.0,3,3,CBlock,3,3,No,LwQ,326,0,389,715,2,Y,849,811,1660,1,1,3,3,6,1,4,1,8,3,WD,Normal,188700,6,0,0,74,2,0,0,4035,0,0
465,20,RL,60.0,8430,Reg,Inside,CollgCr,1Fam,1Story,5,5,Gable,HdBoard,HdBoard,BrkFace,136.0,3,3,CBlock,4,3,No,Rec,616,0,424,1040,3,Y,1040,0,1040,2,0,3,3,5,0,None,0,8,4,WD,Normal,124000,1,0,1,31,2,0,0,3120,0,0
466,120,RM,MasVnrArea,3072,Reg,Inside,Blmngtn,TwnhsE,1Story,7,5,Hip,VinylSd,VinylSd,BrkFace,18.0,4,3,PConc,4,3,No,Unf,0,0,1375,1375,5,Y,1414,0,1414,2,0,2,4,6,1,3,2,5,1,WD,Normal,178740,5,1,1,2,2,0,1,4203,0,0
467,20,RL,85.0,10628,Reg,Inside,NAmes,1Fam,1Story,7,5,Flat,Plywood,Plywood,None,0.0,3,4,CBlock,3,4,Gd,GLQ,778,0,499,1277,3,Y,1277,0,1277,2,0,2,3,5,1,1,2,4,2,WD,Normal,167000,5,0,1,37,2,0,0,3831,0,0
468,70,RL,79.0,9480,Reg,Inside,NAmes,1Fam,2Story,5,7,Gable,MetalSd,MetalSd,Stone,224.0,3,3,CBlock,3,3,No,LwQ,386,0,342,728,5,Y,888,756,1644,1,1,3,4,7,2,4,1,6,2,WD,Normal,146500,3,0,0,65,2,0,1,4016,0,0
469,20,RL,98.0,11428,IR1,Inside,NridgHt,1Fam,1Story,8,5,Gable,VinylSd,VinylSd,Stone,248.0,4,3,PConc,4,3,No,Unf,0,0,1626,1626,5,Y,1634,0,1634,2,0,3,4,7,1,4,3,5,2,WD,Normal,250000,8,1,1,1,2,0,0,4894,0,0
470,60,RL,76.0,9291,IR1,Corner,SawyerW,1Fam,2Story,6,5,Gable,HdBoard,HdBoard,BrkFace,120.0,4,3,PConc,4,3,No,GLQ,426,0,406,832,5,Y,832,878,1710,2,1,3,4,7,0,None,2,6,3,WD,Normal,187000,6,1,1,15,3,0,1,4252,0,0
471,120,RL,MasVnrArea,6820,IR1,Corner,StoneBr,TwnhsE,1Story,8,5,Gable,HdBoard,HdBoard,None,0.0,4,3,PConc,4,3,Av,GLQ,368,1120,0,1488,3,Y,1502,0,1502,2,1,1,4,4,0,None,2,6,5,WD,Normal,212000,7,1,1,25,3,0,0,4492,0,0
472,60,RL,92.0,11952,Reg,Inside,NWAmes,1Fam,2Story,7,6,Mansard,WdShing,Plywood,None,0.0,3,3,CBlock,4,3,No,Unf,0,0,808,808,3,Y,1161,808,1969,2,1,3,3,8,1,4,2,11,2,WD,Normal,190000,6,0,1,30,3,0,0,4746,0,0
473,180,RM,35.0,3675,Reg,Inside,Edwards,TwnhsE,SLvl,6,5,Gable,VinylSd,VinylSd,BrkFace,80.0,3,3,PConc,4,3,Gd,GLQ,459,0,88,547,5,Y,1072,0,1072,2,0,2,3,5,0,None,2,6,3,WD,Normal,148000,4,1,1,3,2,0,0,2691,0,0
474,20,RL,110.0,14977,IR1,Inside,NridgHt,1Fam,1Story,8,5,Gable,VinylSd,VinylSd,BrkFace,304.0,4,3,PConc,5,3,Gd,GLQ,1350,0,626,1976,5,Y,1976,0,1976,3,0,2,4,7,1,5,3,7,2,New,Partial,440000,9,1,0,1,3,0,1,5928,0,1
475,120,RL,41.0,5330,Reg,Inside,StoneBr,TwnhsE,1Story,8,5,Gable,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,Av,GLQ,1196,0,298,1494,5,Y,1652,0,1652,3,0,2,5,6,0,None,2,8,2,WD,Normal,251000,8,1,1,7,3,0,1,4798,0,0
476,20,RL,80.0,8480,Reg,Corner,Sawyer,1Fam,1Story,5,6,Hip,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,No,GLQ,630,0,340,970,3,Y,970,0,970,2,0,2,3,5,0,None,2,7,2,WD,Normal,132500,2,1,1,44,2,0,0,2910,0,0
477,20,RL,75.0,13125,Reg,Inside,CollgCr,1Fam,1Story,6,5,Gable,VinylSd,VinylSd,BrkFace,215.0,3,3,PConc,4,3,Gd,GLQ,994,0,484,1478,5,Y,1493,0,1493,3,0,3,4,7,1,3,2,4,3,WD,Normal,208900,7,1,0,11,3,0,1,4464,0,0
478,60,RL,105.0,13693,Reg,Inside,NridgHt,1Fam,2Story,9,5,Hip,VinylSd,VinylSd,BrkFace,772.0,5,3,PConc,4,3,Av,Unf,0,0,2153,2153,5,Y,2069,574,2643,2,1,3,5,9,1,4,3,3,2,WD,Normal,380000,9,1,1,1,3,0,1,7439,0,0
479,20,RL,79.0,10637,Reg,Inside,CollgCr,1Fam,1Story,8,5,Hip,VinylSd,VinylSd,Stone,336.0,4,3,PConc,5,3,Gd,GLQ,1288,0,417,1705,5,Y,1718,0,1718,3,0,3,4,7,1,4,3,9,4,WD,Normal,297000,9,1,0,2,3,0,1,5141,0,0
480,30,RM,50.0,5925,Reg,Inside,OldTown,1Fam,1Story,4,7,Hip,Stucco,Stucco,BrkCmn,435.0,3,3,BrkTil,2,3,No,Rec,168,0,739,907,3,Y,1131,0,1131,1,0,2,3,7,0,None,2,3,2,WD,Alloca,89471,0,1,0,70,1,0,0,3169,0,0
481,20,RL,98.0,16033,IR1,FR2,NridgHt,1Fam,1Story,9,5,Hip,VinylSd,VinylSd,BrkFace,378.0,4,3,PConc,5,3,Gd,GLQ,1261,0,572,1833,5,Y,1850,0,1850,3,0,3,4,8,1,4,3,3,1,WD,Normal,326000,9,1,0,2,3,0,1,5533,0,0
482,20,RL,72.0,11846,IR1,Inside,NridgHt,1Fam,1Story,9,5,Hip,VinylSd,VinylSd,BrkFace,562.0,4,3,PConc,5,3,Gd,GLQ,1567,0,225,1792,5,Y,1792,0,1792,3,0,2,5,6,1,4,3,8,1,WD,Normal,374000,9,1,0,3,3,0,1,5376,0,0
483,70,RM,50.0,2500,Reg,Corner,OldTown,1Fam,2Story,7,8,Gable,Stucco,Stucco,None,0.0,4,3,PConc,3,3,No,ALQ,299,0,611,910,5,Y,916,910,1826,2,1,4,5,7,1,4,1,6,4,WD,Normal,155000,4,0,0,94,3,0,0,4562,0,0
484,120,RM,32.0,4500,Reg,FR2,Mitchel,Twnhs,1Story,6,5,Hip,VinylSd,VinylSd,BrkFace,116.0,3,3,PConc,5,3,No,GLQ,897,0,319,1216,5,Y,1216,0,1216,3,0,2,3,5,0,None,2,5,1,WD,Normal,164000,5,1,1,8,3,0,0,3648,0,0
485,20,RL,MasVnrArea,7758,IR1,Corner,Sawyer,1Fam,1Story,5,7,Gable,HdBoard,Plywood,None,0.0,3,4,CBlock,3,3,No,ALQ,588,0,411,999,4,Y,999,0,999,2,0,3,4,6,0,None,1,3,2,WD,Normal,132500,2,1,0,45,2,0,0,2997,0,0
486,20,RL,80.0,9600,Reg,Inside,NAmes,1Fam,1Story,5,7,Gable,MetalSd,MetalSd,None,0.0,4,3,CBlock,3,3,No,ALQ,607,0,506,1113,4,Y,1113,0,1113,1,0,3,4,5,1,4,1,7,4,WD,Normal,147000,3,1,0,59,1,0,0,3339,0,0
487,20,RL,79.0,10289,Reg,Inside,NAmes,1Fam,1Story,5,7,Hip,MetalSd,MetalSd,BrkFace,168.0,3,3,CBlock,3,3,No,ALQ,836,0,237,1073,3,Y,1073,0,1073,2,1,3,3,6,0,None,2,6,2,WD,Normal,156000,4,0,1,42,3,0,0,3219,0,0
488,20,RL,70.0,12243,IR1,Inside,NWAmes,1Fam,1Story,5,6,Gable,Plywood,Plywood,None,0.0,3,3,CBlock,4,3,Av,ALQ,998,0,486,1484,4,Y,1484,0,1484,2,0,3,3,7,1,3,2,2,2,WD,Normal,175000,5,0,1,36,2,0,1,4452,0,0
489,190,RL,60.0,10800,Reg,Corner,OldTown,2fmCon,1.5Fin,5,4,Gable,Wd Sdng,Wd Sdng,None,0.0,3,2,CBlock,3,2,No,BLQ,664,0,290,954,3,N,1766,648,2414,2,0,3,3,10,1,4,2,5,1,ConLD,Normal,160000,4,0,0,106,2,0,1,5782,0,0
